Wallet Address,Address Type,Point,Ranking
0x567aa25508eba51306c618eee9caaa217964bfd6,EVM,155,6
0x6a9eed3a06920277d50f48e51b58608726b2b0ff,EVM,155,6
0x459ad43b4fd43cf32766635d742c72bd3248acc9,EVM,155,6
0x4ed90d6e23f7d05d2cbd832844fabcaf6814ce92,EVM,155,6
0xabb8fc1e63afa6e24af0b53b2940a67ef4900d9e,EVM,155,6
0x3985d13ecf674734c391a9e0bb20586e78b0ba91,EVM,155,6
0xa1a54215483395f7f3f390a864d4550f460a1cf2,EVM,155,6
0x3a2cd5e34477d4c9ef711d2e036a859b0f0980aa,EVM,155,6
0x65a1e2cbbe77b7acd3b64850ecd67d98c62ed07f,EVM,155,6
0x5c1fed2512559a78c7a57605029bcd62211efe7c,EVM,155,6
0xb484526906b9512fc055ffde71c64c2567b9edbb,EVM,155,6
0x1cf3617dd90fd3c3c384f6a8f1ca7b57d26de875,EVM,155,6
0xe7403155c1292c784043d79956d886788104f99a,EVM,155,6
0x1b166d821aa5a2d29f6644f0fa48d01594c334df,EVM,155,6
0x0e4d1db894954cc6fb5a14996dbe2f19486f262e,EVM,155,6
0x7fc090c90d64f5fa3e0ec441486da8b7069324ee,EVM,155,6
0xdbe601b86e1dc1f060ff74f135cb8c4429b9317a,EVM,155,6
0xced92d03e2cba739c1a9b7a1d4a12d3fcf42213b,EVM,155,6
0xa2db41f5d8ffb9506ee81967de7d466757de6788,EVM,155,6
0x01675748cd45d94d38b58afc94c8bdc9f10cd3d9,EVM,155,6
0x2790c931ca447f0b3ec196d5a0319b72ff25e061,EVM,155,6
0x5bb624108f403643cfbb3aa01fa438413e057b54,EVM,155,6
0x36f77dcc00ee88c0045e8ada4a3b46395d32e118,EVM,155,6
0x0bd58f3c982cdacdc324b49d1ca997a991dbf501,EVM,155,6
0x69155e7ca2e688ccdc247f6c4ddf374b3ae77bd6,EVM,140,92
0xa5ca7ba88c12cb6a181b3ad79e525915d70f10b0,EVM,140,92
0x599947157b589c5447cd666c13874a950ed1c4a8,EVM,130,94
0xb1658bd148f54c1e59d85f7fda511b558533b0ca,EVM,130,94
0x0a48efbdcef39d31718945ab4b1e916454b30282,EVM,130,94
0xeed518c9d0719f016bebcfb3e25c4c9acd00b6c2,EVM,130,94
0x0eca8c1a0718402de736f768f1cf522936d12e67,EVM,130,94
0xaec109dcd8521d4e12a7ec04532cbf9ecaffcc52,EVM,130,94
0xe81e9d916f37b89cdfbcf34fc93d315f533ef789,EVM,130,94
0xae91cb07b00d30446f0b1fa0848f0d354efdfc8a,EVM,130,94
0x4ac48e4a3aaee76e2406ac79d637a2dd887fa496,EVM,130,94
0x4577dc4792b18805f353afbaa12dc54280788ed5,EVM,130,94
0xad3df525a9f320cfb3346f2007e512b324558995,EVM,130,94
0x28a4f1c13fc3af4b4ac9ce8dac5eb7de9dd35ca1,EVM,130,94
0x768f8ece2601a05c5d2bea98013dfd91ea6740b9,EVM,130,94
0xabfabce59844476dfe788d76c011e0406c0d2d9b,EVM,130,94
0x910cc812daafa216be3fbae0be57caf03cfb2ddd,EVM,130,94
0xd1d8ea03cdd3a7e42040665104ca59adb9670ec1,EVM,130,94
0x989de3a120851a3e09ebef125e5e789ddaee52c4,EVM,130,94
0xd241707d9b08824197dad1b0c90a4441c9c550e3,EVM,130,94
0x5bde5c20530c27935ce6a8cf9ee55ff388c54607,EVM,130,94
0x6f24897890b1f141ef6220d49b3e2ceb570adb72,EVM,130,94
0x97ad50282e8ac23e467b151479f7ef98915f78e2,EVM,130,94
0x2bac1ae72a3b9918d6781bef01abed4e2714cc84,EVM,130,94
0x44af7fbc56eaeebf7b7a2e075eb38c17d82034b1,EVM,130,94
0xb8d5f9a1454e047fe770e929f7ee198578bf2e8e,EVM,130,94
0xb4c49c8571660bf947658dd04a79857b47c0f59b,EVM,130,94
0x3c0651685f6b066c33a2f4028c4f5e69079c5e9c,EVM,130,94
0x2e7c90cc68b3d4c84f1d5305f06920c38cbdeff1,EVM,130,94
0x2302d7e5d785eed3d9bc1fa6ab8df66bcae4f050,EVM,105,121
0x2eb5a64472e20c82c9a8df2ad1d6a7de7274f84e,EVM,95,122
0xe8176e7f80845bf155cc02c26899344c0ebcaeb8,EVM,80,123
0x4faff24b7a9cfbefded71e7e38a4b21e854303b6,EVM,80,123
0x2e9d30aef6085df0efa93e6fff4814ddc361f408,EVM,80,123
0x000009ff30036658300e2abcedde1020d5e662cc,EVM,80,123
0x6faa0d167f92ba5df7427bcc54a3596a4488cae5,EVM,80,123
0x9d199a5fe60724543fd8644e609c9a09d7252f57,EVM,75,128
0x377988b54f8057b0aa730837daa3905b627be14f,EVM,75,128
0xbd16914b8d3f095a051289bc70ff24ddf1a6b114,EVM,75,128
0xc68fda89ed51b43cf2a9a07fc6a5aa072e42a63b,EVM,75,128
0x8e0eb69dd68f5a00d1943ea011cc69b0a3ca6e32,EVM,75,128
0x93347c0038ebd91a7c91ab9796f3d13e106e1958,EVM,75,128
0xd5ba99351258fe3f978ecccb8c182436ac022e13,EVM,75,128
0x6646bbb62914141e1dfc19b9ab73856177c219f1,EVM,75,128
0x4892ba74b731679d56b7437c26ba759ad6e51af1,EVM,75,128
0xe2274c7d1f4465b0dae07a35059ab47c5bd5a46c,EVM,75,128
0x656510972b9070961ec7934dd467b662dc711f07,EVM,75,128
0xa8b612cb00e09ab910a18f70d398e571e7f80e48,EVM,75,128
0x75ffb21042a0087da71a7f7b6413293a08adf38e,EVM,75,128
0xb72f84574031ff4a9fe338c6236da186454cc343,EVM,75,128
0xf4c3d3a0d9b0199d798e396c9fe88c046923278d,EVM,75,128
0xe899b3ea7fbad6b76832c3c248894e5375bdbdfe,EVM,75,128
0x73a71e2c226e7eb07bb03918ebcb0ba2f3532894,EVM,75,128
0x350a88fed65364b2500a7dc8cac9064f4a8591a7,EVM,75,128
0x9ce9c362cfeb6872322db4ebf51db2c1b26a81c1,EVM,75,128
0xe1551b01a46bfa5391827d65f8d8a88c9d3ccd4a,EVM,50,147
0x49e0fdfe8205bb23f14d20957f3a34eb9ca5173e,EVM,50,147
0xc10da2c7729e2bfebe13d5d3a0710c0c58e3c442,EVM,50,147
0xc2baf9192e699f83b5a60f2004e44002fb22d157,EVM,50,147
0x6a996e74d044d346b452055d04b2c2f4aebfec89,EVM,50,147
0x7f74c8c4a1f7b480b614e46cde69d7489630698f,EVM,35,152
0x380f200e11766fe86a24f4b9bd57d730813a746e,EVM,25,153
0xc08faa66cce2f74825dc567340b94c54ee68931c,EVM,25,153
0x470fd974458adb241774bf59fedd74026446d231,EVM,25,153
0x3876c8e935546999f30302dd5ba73a3d069ceb60,EVM,25,153
0x507832c92ade971b9a2880427353c6ce6d0ffe53,EVM,25,153
0xfb8716e50ed1c4f9bf2ebc2a27e2075466fa0008,EVM,25,153
0x58cb0cd5b50613eb1cb1f016efb09cff538a41ab,EVM,25,153
0x52a61e625a74d48027260b72c1e48a94cac4bc5c,EVM,25,153
0xb9f1d3598d901355e2c55616ad9d532e47e122e2,EVM,25,153
0x8ccb97d7253bd8564b35ee9e8e16f9133eb6a28d,EVM,25,153
0xf53236b79a611d9d79732626a81024ed07b15bff,EVM,25,153
0x2376bc6f5f1dc4395d0fff93bcbb20fcf6789568,EVM,25,153
0x6885277e4b8771b23e67dfad9b6d4cac7405ec89,EVM,25,153
0xfe8913d2be30460bdbeaac8af42510f61ae2b854,EVM,25,153
0x586a17b2cb4d3a2b0001a59842559ced01c49f50,EVM,25,153
0x9cb0778743d056e3732fd17af8d9acd9345f46fc,EVM,25,153
0xb1a04ad32fcdb0460156213ac3d504ef35ed4999,EVM,25,153
0x5312d92aadfff25e1dda2aea9d9d82b3a61e1641,EVM,25,153
0x765a16ca391a6b9249cfa65bf2d14c38722198e3,EVM,25,153
0xa21e52d9b2241f3f3a6d111d8f110bcaec12be78,EVM,25,153
0x091dc92c85b1db4a48557d056682a2a1fe6b714b,EVM,25,153
0xbfd4b84ec17aa8556c1bf2da956e0b75bf89b3bd,EVM,25,153
0x1bdd2a02a33c70f7e1672b83652f0e5fc1e5eafc,EVM,25,153
0xde0b1e09d40a699829f308cba9d37868a8002574,EVM,25,153
0x3bee863c2aec38b9ec0a0eba2a4594e5589cfa94,EVM,25,153
0x2a9f2937ba4e5927d23b1a73ca8540c9423371c6,EVM,25,153
0xf847db2d2ec6b3a998330ad77093886879c5d245,EVM,25,153
0x2f4ea863bb35f6abe042087bea7049755b23b674,EVM,25,153
0xca99d35880ce5f6c62ebdc82bdaa02a8ea96101f,EVM,25,153
